_id,author,date,section,sub_title,text,title,url
,247,05/04/2019 21:41:00,cultura,"A cantora Mart'nália reagiu aos ataques e xingamentos que a cantora Nana Caymmi desferiu contra os cantores Caetano Veloso, Gilberto Gil e Chico Buarque, por defenderem a liberdade do ex-presidente Lula; ""Alguém pode mandar a Nana Caymmi à merda? Pelo amor de Deus, manda à merda. Alguém manda ela à merda"", diz Mart'nália em vídeo que viralizou nas redes sociais; assista","A cantora Mart'nália reagiu aos ataques e xingamentos que a cantora Nana Caymmi desferiu contra os cantores Caetano Veloso, Gilberto Gil e Chico Buarque, por defenderem a liberdade do ex-presidente Luiz Inácio Lula da Silva.
""Alguém pode mandar a Nana Caymmi à merda? Pelo amor de Deus, manda à merda. Alguém manda ela à merda"", diz Mart'nália em vídeo que viralizou nas redes sociais.
Em entrevista à Folha, Nana Caymmi defendeu Jair Bolsonaro e atacou seus colegas de música Chico Buarque, Gilberto Gil e Caetano Veloso. Nana confessa ter votado em Bolsonaro no segundo turno. ""Só de tirar PMDB e PT já é uma garantia de que a vida vai melhorar. Agora vêm dizer que os militares vão tomar conta? Isso é conversa de comunista. Gil, Caetano, Chico Buarque. Tudo chupador de pau de Lula. Então, vão pro Paraná fazer companhia a ele. Eu não me importo"", disse ela (leia mais).
Assista:
Alguém que encontrar com Nana Caymmi da o recado por favor, obrigado! Valeu @Martnaliasempre representando!#DitaduraNuncaMais #DitaduraNaoSeComemora pic.twitter.com/FBxyHujWbj


",Martnália: alguém pode mandar Nana Caymmi à merda?,https://www.brasil247.com/pt/247/cultura/389134/Martn%C3%A1lia-algu%C3%A9m-pode-mandar-Nana-Caymmi-%C3%A0-merda.htm
,"247 – ""Em uma democracia, governantes que conclamam a população a festejar uma ditadura de assassinos, de corruptos e de torturadores que tomou o seu próprio país por 20 anos seriam objetos imediato de destituição. A democracia não aceita que o ocupante do lugar da Presidência atente tão abertamente contra ela, saudando aqueles que a destruíram"", diz o colunista Vladimir Safatle.",05/04/2019 05:32:00,cultura,"""Em uma democracia, governantes que conclamam a população a festejar uma ditadura de assassinos, de corruptos e de torturadores que tomou o seu próprio país por 20 anos seriam objetos imediato de destituição. A democracia não aceita que o ocupante do lugar da Presidência atente tão abertamente contra ela, saudando aqueles que a destruíram"", diz o colunista Vladimir Safatle","
""No Brasil, que parece apenas esperar o golpe de misericórdia para institucionalizar a sua situação autoritária de fato, colocações dessa natureza só podem ser barradas mostrando qual é o preço de uma nova ditadura, quantas vozes nas ruas ela precisará calar, contra quanta violência legítima, vinda do direito fundamental de resistência, ela precisará responder. O dia 31 de março sempre será, na história deste país, o dia da infâmia e da vergonha. Se alguém esqueceu, nós podemos lembrá-lo"", aponta.","Safatle: se o Brasil fosse uma democracia, Bolsonaro cairia",https://www.brasil247.com/pt/247/cultura/388512/Safatle-se-o-Brasil-fosse-uma-democracia-Bolsonaro-cairia.htm
,247,05/04/2019 08:35:00,cultura," Mais da metade dos educadores, músicos e coordenadores de polos do Projeto Guri, um dos maiores programas socioculturais do país, começaram a receber nesta sexta (29) aviso prévio de que devem ser demitidos no mês que vem; eles ensinam música para crianças carentes em todo o estado de São Paulo. Foram 650 avisos, de um total de 1.500 pessoas empregadas no projeto","Mais da metade dos educadores, músicos e coordenadores de polos do Projeto Guri, um dos maiores programas socioculturais do país, começaram a receber nesta sexta (29) aviso prévio de que devem ser demitidos no mês que vem. Eles ensinam música para crianças carentes em todo o estado de São Paulo. Foram 650 avisos, de um total de 1.500 pessoas empregadas no projeto. A informação é da coluna de Mônica Bergamo.
O governo de João Doria cortou o orçamento da Secretaria da Cultura e Economia Criativa em 23%, num total de R$ 148 milhões. Se a medida não for revertida, o projeto terá que fechar 31 mil de um total de 50 mil vagas hoje abertas. Ao todo, 171 teriam as atividades encerradas de 335 polos em funcionamento.
Em nota, a pasta diz que “as metas são minimizar as consequências e buscar mais eficiência e mais eficácia. Estamos fazendo reuniões individuais com cada uma das 18 organizações sociais, incluindo as gestoras do Projeto Guri, para definir as prioridades e os ajustes necessários. Trata-se de um imperativo da realidade orçamentária do estado”.",Projeto Guri demitirá 650 pessoas e pode fechar 31 mil vagas,https://www.brasil247.com/pt/247/cultura/388641/Projeto-Guri-demitir%C3%A1-650-pessoas-e-pode-fechar-31-mil-vagas.htm
,247,05/04/2019 20:25:00,cultura,"O cientista social português Boaventura de Sousa Santos, colunista do 247, gravou um vídeo chamando para participação de atos Lula Livre pelo mundo; ""Depois que o seu acusador se transformou no ministro de Bolsonaro, ficou clara a estratégia da prisão do ex-presidente Lula"", diz Boaventura","O cientista social português Boaventura de Sousa Santos, colunista do 247, gravou um vídeo chamando para participação de atos Lula Livre pelo mundo.
Assista:

Boaventura de Souza Santos, Cientista Social e diretor do Centro de Estudos Sociais (CES) de Coimbra, convoca o ato por #JornadaLulaLivre pelo mundo. pic.twitter.com/15UetKbHy5

O Comitê Lula Livre divulgou nesta segunda-feira (1º) um vídeo de convocação para as mobilizações populares pela libertação do ex-presidente Luiz Inácio Lula da Silva, organizadas pelo coletivo entre os dias 7 e 10, em cidades de todo o Brasil e também no exterior. No próximo domingo (7), completa-se um ano da prisão política do ex-presidente, depois de ter sua condenação confirmada em segunda instância, no caso que ficou conhecido como o “triplex do Guarujá”, em processo cercado de irregularidades.
As manifestações iniciam-se, na prática, já na sexta-feira (5), quando o ex-prefeito de São Paulo Fernando Haddad inicia a caravana Lula Livre a partir de Porto Alegre, seguindo para Florianópolis no sábado, e chegando domingo a Curitiba, onde Lula está preso. Neste dia, movimentos populares e organizações políticas de 16 países, incluindo o Brasil, irão realizar ações articuladas na Jornada Internacional Lula Livre.
Na capital do Paraná, a caravana junta-se aos milhares de apoiadores do ex-presidente esperados e realizam um dos dois grandes atos nacionais organizados pelo Comitê em defesa da democracia e pela liberdade de Lula. O outro ato será em São Paulo.",Boaventura Sousa Santos convoca atos Lula Livre pelo mundo,https://www.brasil247.com/pt/247/cultura/389008/Boaventura-Sousa-Santos-convoca-atos-Lula-Livre-pelo-mundo.htm
,247,05/04/2019 08:39:00,cultura,"A atriz Regina Duarte foi processada pela Prefeitura de Ilhabela, litoral norte do estado de São Paulo, por atraso no pagamento do IPTU; o total da fatura é de R$ 70 079,02; a artista já havia sido processada pelo mesmo motivo em 2014, mas o valor era de R$ 8 879,01","A atriz Regina Duarte foi processada pela Prefeitura de Ilhabela, litoral norte do estado de São Paulo, por atraso no pagamento do IPTU. O total da fatura é de R$ 70 079,02, de acordo com informação do Blog Veja Gente.
A artista já havia sido processada pelo mesmo motivo em 2014, mas o valor era de R$ 8 879,01.
Regina informou que se desfez da casa em 2015 e que ela não está mais em seu nome.",Regina Duarte é processada em SP por atraso em pagamento de IPTU,https://www.brasil247.com/pt/247/cultura/388643/Regina-Duarte-%C3%A9-processada-em-SP-por-atraso-em-pagamento-de-IPTU.htm
,247,05/04/2019 09:32:00,cultura,"A atriz e produtora Paula Lavigne abriu ofensiva contra o presidente Jair Bolsonaro; o movimento 342 Artes, liderado por ela, vai inaugurar neste domingo (31) uma campanha para criticar a inciativa do governo de comemorar o golpe militar de 1964 pelo país","A atriz e produtora Paula Lavigne abriu ofensiva contra o presidente Jair Bolsonaro. OP movimento 342 Artes, liderado por ela, vai inaugurar neste domingo (31) uma campanha para criticar a inciativa do governo de comemorar o golpe militar de 1964 pelo país. A informação é da coluna de Lauro Jardim.
O 342 vai distribuir pelas ruas de São Paulo e Rio de Janeiro cartazes com textos como ""Ditadura nunca mais"" e ""64 nunca +"".",Movimento Paula Lavigne inaugura campanha contra celebração de golpe de 64,https://www.brasil247.com/pt/247/cultura/388653/Movimento-Paula-Lavigne-inaugura-campanha-contra-celebra%C3%A7%C3%A3o-de-golpe-de-64.htm
,Revista Fórum,05/04/2019 22:02:00,cultura,"Durante seu show no Lollapalooza Argentina, em Buenos Aires, o cantor e compositor Caetano Veloso, fez manifestação de repúdio às menções a favor da ditadura e do golpe militar de 1964; ao final da apresentação, o artista estendeu dois cartazes com os dizeres ""Ditadura Nunca Mais"". O publicou aplaudiu e gritou palavras de ordem; assista ","Durante seu show no Lollapalooza Argentina, em Buenos Aires, o cantor e compositor Caetano Veloso, fez manifestação de repúdio às menções a favor da ditadura e do golpe militar de 1964.
Ao final da apresentação, o artista estendeu dois cartazes com os dizeres ""Ditadura Nunca Mais"". O publicou aplaudiu e gritou palavras de ordem.
",Caetano Veloso protesta contra ditadura e é ovacionado na Argentina,https://www.brasil247.com/pt/247/cultura/388780/Caetano-Veloso-protesta-contra-ditadura-e-%C3%A9-ovacionado-na-Argentina.htm
,247,05/04/2019 13:07:00,cultura,"Enquanto Jair Bolsonaro ordena os quartéis a celebrarem o golpe de 1964, o escrito Paulo Coelho escreveu um texto relatando como foi torturado durante a Ditadura Militar (1964-1985); ""28 de maio de 1974: um grupo de homens armados invade meu apartamento"", conta, dizendo que depois foi ""levado para o DOPS, fichado e fotografado""; ""Sou retirado (do carro) e espancado enquanto ando por aquilo que parece ser um corredor""; ""E são essas décadas de chumbo que o Presidente Jair Bolsonaro quer festejar nesse dia 31 de março""","Enquanto o presidente Jair Bolsonaro ordena os quartéis a celebrarem o golpe militar de 1964, o escrito Paulo Coelho escreveu um texto relatando como foi torturado durante a Ditadura Militar (1964-1985).
""28 de maio de 1974: um grupo de homens armados invade meu apartamento. Começam a revirar gavetas e armários – não sei o que estão procurando, sou apenas um compositor de rock"", conta, dizendo que depois foi ""levado para o DOPS (Departamento de Ordem Política e Social), fichado e fotografado"".
""O carro para. Sou retirado e espancado enquanto ando por aquilo que parece ser um corredor. Grito, mas sei que ninguém está ouvindo, porque eles também estão gritando. Terrorista, dizem. Merece morrer. Está lutando contra seu país. Vai morrer devagar, mas antes vai sofrer muito. Paradoxalmente, meu instinto de sobrevivência começa a retornar aos poucos"", afirmou. ""E são essas décadas de chumbo que o Presidente Jair Bolsonaro – depois de mencionar no Congresso um dos piores torturadores como seu ídolo – quer festejar nesse dia 31 de março"".
Leia a íntegra do texto publicado no site Catraca Livre:
28 de maio de 1974: um grupo de homens armados invade meu apartamento. Começam a revirar gavetas e armários – não sei o que estão procurando, sou apenas um compositor de rock. Um deles, mais gentil, pede que os acompanhe “apenas para esclarecer algumas coisas”. O vizinho vê tudo aquilo e avisa minha família, que entra em desespero. Todo mundo sabia o que o Brasil vivia naquele momento, mesmo que nada fosse publicado nos jornais.
Sou levado para o DOPS (Departamento de Ordem Política e Social), fichado e fotografado. Pergunto o que fiz, ele diz que ali quem pergunta são eles. Um tenente me faz umas perguntas tolas, e me deixa ir embora. Oficialmente já não sou mais preso: o governo não é mais responsável por mim. Quando saio, o homem que me levara ao DOPS sugere que tomemos um café juntos. Em seguida, escolhe um táxi e abre gentilmente a porta. Entro e peço para que vá até a casa de meus pais – espero que não saibam o que aconteceu.
No caminho, o táxi é fechado por dois carros; de dentro de um deles sai um homem com uma arma na mão e me puxa para fora. Caio no chão, sinto o cano da arma na minha nuca. Olho um hotel diante de mim e penso: “não posso morrer tão cedo.” Entro em uma espécie de catatonia: não sinto medo, não sinto nada. Conheço as histórias de outros amigos que  desapareceram; sou um desaparecido, e minha última visão será a de um hotel. Ele me levanta, me coloca no chão do seu carro, e pede que eu coloque um capuz.
O carro roda por talvez meia hora. Devem estar escolhendo um lugar para me executarem – mas continuo sem sentir nada, estou conformado com meu destino. O carro para. Sou retirado e espancado enquanto ando por aquilo que parece ser um corredor. Grito, mas sei que ninguém está ouvindo, porque eles também estão gritando. Terrorista, dizem. Merece morrer. Está lutando contra seu país. Vai morrer devagar, mas antes vai sofrer muito. Paradoxalmente, meu instinto de sobrevivência começa a retornar aos poucos.
Sou levado para a sala de torturas, com uma soleira. Tropeço na soleira porque não consigo ver nada: peço que não me empurrem, mas recebo um soco pelas costas e caio. Mandam que tire a roupa. Começa o interrogatório com perguntas que não sei responder. Pedem para que delate gente de quem nunca ouvi falar. Dizem que não quero cooperar, jogam água no chão e colocam algo no meus pés, e posso ver por debaixo do capuz que é uma máquina com eletrodos que são fixados nos meus genitais.
Entendo que, além das pancadas que não sei de onde vêm (e portanto não posso nem sequer contrair o corpo para amortecer o impacto), vou começar a levar choques. Eu digo que não precisam fazer isso, confesso o que quiser, assino onde mandarem. Mas eles não se contentam. Então, desesperado, começo a arranhar minha pele, tirar pedaços de mim mesmo. Os torturadores devem ter se assustado quando me veem coberto de sangue; pouco depois me deixam em paz. Dizem que posso tirar o capuz quando escutar a porta bater. Tiro o capuz e vejo que estou em uma sala a prova de som, com marcas de tiros nas paredes. Por isso a soleira.
No dia seguinte, outra sessão de tortura, com as mesmas perguntas. Repito que assino o que desejarem, confesso o que quiserem, apenas me digam o que devo confessar. Eles ignoram meus pedidos. Depois de não sei quanto tempo e quantas sessões (o tempo no inferno não se conta em horas), batem na porta e pedem para que coloque o capuz. O sujeito me pega pelo braço e diz, constrangido: não é minha culpa. Sou levado para uma sala pequena, toda pintada de negro, com um ar-condicionado fortíssimo. Apagam a luz. Só escuridão, frio, e uma sirene que toca sem parar. Começo a enlouquecer, a ter visões de cavalos. Bato na porta da “geladeira” (descobri mais tarde que esse era o nome), mas ninguém abre. Desmaio. Acordo e desmaio várias vezes, e em uma delas penso: melhor apanhar do que ficar aqui dentro.
Quando acordo estou de novo na sala. Luz sempre acesa, sem poder contar dias e noites. Fico ali o que parece uma eternidade. Anos depois, minha irmã me conta que meus pais não dormiam mais; minha mãe chorava o tempo todo, meu pai se trancou em um mutismo e não falava.
Já não sou mais interrogado. Prisão solitária. Um belo dia, alguém joga minhas roupas no chão e pede que eu me vista. Me visto e coloco o capuz. Sou levado até um carro e posto na mala. Giram por um tempo que parece infinito, até que param – vou morrer agora? Mandam-me tirar o capuz e sair da mala. Estou em uma praça com crianças, não sei em que parte do Rio.
Vou para a casa de meus pais. Minha mãe envelheceu, meu pai diz que não devo mais sair na rua. Procuro os amigos, procuro o cantor, e ninguém responde ao meus telefonemas. Estou só: se fui preso devo ter alguma culpa, devem pensar. É arriscado ser visto ao lado de um preso. Saí da prisão mas ela me acompanha. A redenção vem quando duas pessoas que sequer eram próximas de mim me oferecem emprego. Meus pais nunca se recuperaram.
Decadas depois, os arquivos da ditadura são abertos e meu biógrafo consegue todo o material. Pergunto por que fui preso: uma denúncia, ele diz. Quer saber quem o denunciou? Não quero. Não vai mudar o passado.
E são essas décadas de chumbo que o Presidente Jair Bolsonaro – depois de mencionar no Congresso um dos piores torturadores como seu ídolo – quer festejar nesse dia 31 de março.",Paulo Coelho relata tortura na ditadura e critica Bolsonaro,https://www.brasil247.com/pt/247/cultura/388679/Paulo-Coelho-relata-tortura-na-ditadura-e-critica-Bolsonaro.htm
,Do DCM,05/04/2019 20:22:00,cultura,"Em entrevista à Folha, Nana Caymmi defendeu Jair Bolsonaro e atacou seus colegas de música Chico Buarque, Gilberto Gil e Caetano Veloso. Nana confessa ter votado em Bolsonaro no segundo turno; ""Só de tirar PMDB e PT já é uma garantia de que a vida vai melhorar. Agora vêm dizer que os militares vão tomar conta? Isso é conversa de comunista. Gil, Caetano, Chico Buarque. Tudo chupador de pau de Lula. Então, vão pro Paraná fazer companhia a ele. Eu não me importo""","Em entrevista à Folha, Nana Caymmi defendeu Jair Bolsonaro e atacou seus colegas de música Chico Buarque, Gilberto Gil e Caetano Veloso. Nana confessa ter votado em Bolsonaro no segundo turno. ""É injusto não dar a esse homem um crédito de confiança. Um homem que estava fodido, esfaqueado, correndo pra fazer um ministério, sem noção da mutreta toda... Só de tirar PMDB e PT já é uma garantia de que a vida vai melhorar. Agora vêm dizer que os militares vão tomar conta? Isso é conversa de comunista. Gil, Caetano, Chico Buarque. Tudo chupador de pau de Lula. Então, vão pro Paraná fazer companhia a ele. Eu não me importo.""
Em outro momento da entrevista, diz que Gilberto Gil ""adora aparecer"". ""Gil é maluco, adora aparecer. Se pudesse, dormia no palco. E ele tá cansado. Chega, está cantando há séculos e aos gritos. Eu falei: 'Gil, não grita', 'Gil, não grita'. Mas conselho não se dá. Por que Caetano tem a voz que tem, a mesma desde que nasceu entre as pernas de dona Canô? Não há possibilidade de ele dar um grito. Só dá grito quando ele tá furioso com a Paula [Lavigne] ou se é pra falar de jornalista.""","Nana Caymmi defende Bolsonaro e ataca Chico, Gil e Caetano",https://www.brasil247.com/pt/247/cultura/388493/Nana-Caymmi-defende-Bolsonaro-e-ataca-Chico-Gil-e-Caetano.htm
,Por Vitor Abdala – Repórter da Agência Brasil,05/04/2019 11:45:00,economia,"O percentual de famílias brasileiras com dívidas (em atraso ou não) chegou a 62,4% em março deste ano; o índice é superior aos 61,5% de fevereiro deste ano e aos 61,2% de março do ano passado; esse também é o maior patamar de endividamento das famílias desde setembro de 2015, segundo dados da Pesquisa de Endividamento e Inadimplência do Consumidor, divulgada pela Confederação Nacional do Comércio de Bens, Serviços e Turismo ","
O percentual de famílias brasileiras com dívidas (em atraso ou não) chegou a 62,4% em março deste ano. O índice é superior aos 61,5% de fevereiro deste ano e aos 61,2% de março do ano passado. Esse também é o maior patamar de endividamento das famílias desde setembro de 2015, segundo dados da Pesquisa de Endividamento e Inadimplência do Consumidor, divulgada hoje (4) pela Confederação Nacional do Comércio de Bens, Serviços e Turismo (CNC).
Já as famílias inadimplentes, ou seja, aquelas que têm dívidas ou contas em atraso, ficou em 23,4% em março deste ano, acima dos 23,1% do mês anterior. Na comparação com março do ano passado (25,2%), no entanto, o indicador teve uma queda de 1,8 ponto percentual.
O percentual de famílias que declararam não ter condições de pagar suas contas ou dívidas em atraso aumentou de 9,2% em fevereiro para 9,4% em março deste ano. No entanto, continuou abaixo do patamar de março do ano passado (10%).
Segundo a economista da CNC Marianne Hanson, além da recuperação gradual das concessões de crédito e do consumo das famílias, há um fator sazonal que influi nos resultados: a incidência dos gastos extras de início de ano, ocasionando uma demanda maior por empréstimos.
O cartão de crédito foi apontado como o principal motivo das dívidas por 78% das famílias endividadas, seguido por carnês, para 14,4%, e, em terceiro, por financiamento de carro, para 10%.",Endividamento de famílias brasileiras atinge maior patamar desde 2015,https://www.brasil247.com/pt/247/economia/389184/Endividamento-de-fam%C3%ADlias-brasileiras-atinge-maior-patamar-desde-2015.htm
